# 2 events with 20421 hits in total processed.
#   Event 4021: 10425 hits
#   Event 4022: 9996 hits
#  Event  ID P B E Ly Ld  M S C  S  P  B
     9     1 1 1 0  0  0  0 1 2  1  0  0
     9     2 1 1 0  1  0  0 1 2  1  0  1
     9     3 1 1 0  2  0  0 1 2  1  0  2
     9     4 0 1 0  3  0  0 1 2  1  0  3
     9     5 0 1 0  4  0  0 1 2  1  0  4
     9     6 0 1 0  5  0  0 1 2  1  0  5
    10     7 0 1 0  5  0  0 1 2 45  0  5
    10     8 0 1 0  4  0  0 1 2 45  0  4
    10     9 0 1 0  3  0  0 1 2 45  0  3
    10    10 1 1 0  2  0  0 1 2 45  0  2
    10    11 1 1 0  1  0  0 1 2 45  0  1
    10    12 1 1 0  0  0  0 1 2 46  0  0
    11    12 1 1 0  0  0  0 1 2 46  0  0
