# id layer ladder module type DTC
   0     0      0      0   PS   0
   1     1      0      0   PS   1
   2     2      0      0   PS   2
   3     3      0      0   2S   2
   4     4      0      0   2S   3
   5     5      0      0   2S   3
   6     0      1      0   PS   0
   7     1      1      0   PS   1
   8     2      1      0   PS   2
   9     3      1      0   2S   2
  10     4      1      0   2S   3
  11     5      1      0   2S   3
  12     0      0      1   PS   0
  13     1      0      1   PS   1
  14     2      0      1   PS   2
  15     3      0      1   2S   2
  16     4      0      1   2S   3
  17     5      0      1   2S   3
  18     0      1      1   PS   0
  19     1      1      1   PS   1
  20     2      1      1   PS   2
  21     3      1      1   2S   2
  22     4      1      1   2S   3
  23     5      1      1   2S   3
